Container_ID,Name,CPU_percentage,Mem_usage,/,Mem_Limit,Mem_percentage,Net_I,/,Net_O,Block_I,/,Block_O,PIDS,Time_stamp
44b46bdded1c,algorand-sandbox-postgres,0.03%,20.36MiB,/,7.668GiB,0.26%,59.4kB,/,19.3kB,0B,/,266kB,9,1686369105.210712
f131167c3e64,algorand-sandbox-indexer,0.00%,50.22MiB,/,7.668GiB,0.64%,57.7kB,/,88.9kB,0B,/,0B,11,1686369107.2232268
79c12d1fee8d,algorand-sandbox-algod,81.55%,183.8MiB,/,7.668GiB,2.34%,1.68MB,/,2.61MB,0B,/,164kB,24,1686369107.2232268
44b46bdded1c,algorand-sandbox-postgres,0.15%,20.43MiB,/,7.668GiB,0.26%,84.9kB,/,24.4kB,0B,/,266kB,9,1686369107.2232268
f131167c3e64,algorand-sandbox-indexer,0.68%,51.5MiB,/,7.668GiB,0.66%,72.2kB,/,117kB,0B,/,77.8kB,11,1686369109.23581
79c12d1fee8d,algorand-sandbox-algod,69.37%,184.1MiB,/,7.668GiB,2.35%,1.92MB,/,3MB,0B,/,197kB,24,1686369109.23581
44b46bdded1c,algorand-sandbox-postgres,0.43%,20.46MiB,/,7.668GiB,0.26%,112kB,/,29.4kB,0B,/,266kB,9,1686369109.23581
f131167c3e64,algorand-sandbox-indexer,0.00%,51.48MiB,/,7.668GiB,0.66%,72.2kB,/,117kB,0B,/,77.8kB,11,1686369111.249148
79c12d1fee8d,algorand-sandbox-algod,38.60%,188.3MiB,/,7.668GiB,2.40%,2.03MB,/,3.19MB,0B,/,197kB,24,1686369111.249148
44b46bdded1c,algorand-sandbox-postgres,0.06%,20.46MiB,/,7.668GiB,0.26%,112kB,/,29.4kB,0B,/,266kB,9,1686369111.249148
f131167c3e64,algorand-sandbox-indexer,0.58%,52.55MiB,/,7.668GiB,0.67%,84.9kB,/,141kB,0B,/,77.8kB,11,1686369113.278375
79c12d1fee8d,algorand-sandbox-algod,34.57%,188.5MiB,/,7.668GiB,2.40%,2.12MB,/,3.33MB,0B,/,250kB,25,1686369113.278375
44b46bdded1c,algorand-sandbox-postgres,0.54%,20.46MiB,/,7.668GiB,0.26%,135kB,/,34.4kB,0B,/,266kB,9,1686369113.278375
f131167c3e64,algorand-sandbox-indexer,0.01%,46.26MiB,/,7.668GiB,0.59%,8.64kB,/,4.5kB,0B,/,0B,11,1686369118.4259672
79c12d1fee8d,algorand-sandbox-algod,29.18%,71.26MiB,/,7.668GiB,0.91%,2.67kB,/,4.52kB,0B,/,164kB,22,1686369118.4259672
44b46bdded1c,algorand-sandbox-postgres,0.21%,18.29MiB,/,7.668GiB,0.23%,2.84kB,/,2.63kB,0B,/,28.7kB,8,1686369118.4259672
f131167c3e64,algorand-sandbox-indexer,0.00%,46.61MiB,/,7.668GiB,0.59%,18.5kB,/,17.8kB,0B,/,0B,11,1686369120.434793
